epoch,step,loss,focal,margin,rdrop_kl,supcon,lr,samples_seen,elapsed_s
1,1,1.98788,1.82421,2.375,0.0,0.0,3e-08,8,86.4
1,2,3.93258,3.60904,4.6875,0.0,0.0,6e-08,16,153.8
1,3,1.84707,1.69002,2.21875,0.0,0.0,8e-08,24,221.4
1,4,7e-05,9e-05,0.0,0.0,2e-05,1.1e-07,32,284.5
1,5,5.37201,5.14986,5.9375,1e-05,0.0,1.4e-07,40,348.5
1,6,5.42936,5.08903,6.34375,7e-05,0.0,1.7e-07,48,419.1
1,7,5.68789,5.38399,6.375,4e-05,-0.0,2e-07,56,495.5
1,8,5.48112,5.13685,6.34375,9e-05,0.0,2.2e-07,64,572.2
1,9,0.05544,0.03752,0.10156,2e-05,0.0,2.5e-07,72,649.7
1,10,4.83283,4.47021,5.71875,2e-05,0.0,2.8e-07,80,725.0
1,11,0.62425,0.467,1.07812,0.00074,0.0,3.1e-07,88,801.0
1,12,0.80269,0.5522,1.42188,0.00014,0.0,3.3e-07,96,876.1
1,13,3.62899,3.2928,4.375,3e-05,0.0,3.6e-07,104,955.3
1,14,3.34137,2.97065,4.125,6e-05,0.0,3.9e-07,112,1029.4
1,15,2.637,2.2792,3.5,2e-05,0.0,4.2e-07,120,1104.0
1,16,1.62823,1.44529,2.04688,9e-05,0.0,4.5e-07,128,1180.0
1,17,0.0009,0.00096,0.0,0.00029,0.0,4.7e-07,136,1256.7
1,18,2.64239,2.51188,2.9375,0.0,0.0,5e-07,144,1333.1
1,19,3.38988,3.01502,4.1875,5e-05,1e-05,5.3e-07,152,1406.2
1,20,1.34983,0.99612,2.10938,0.00012,-0.0,5.6e-07,160,1482.0
1,21,2.75402,2.58679,3.1875,1e-05,0.0,5.9e-07,168,1564.3
1,22,1.44949,1.20226,2.0625,3e-05,-0.0,6.1e-07,176,1644.4
1,23,7.59472,7.21922,8.5625,4e-05,0.0,6.4e-07,184,1723.9
1,24,0.15683,0.06902,0.34375,0.00015,0.0,6.7e-07,192,1804.3
1,25,3.51533,3.28905,3.92188,0.00037,0.0,7e-07,200,1887.1
1,26,6.9726,6.58469,7.875,0.00033,0.0,7.2e-07,208,1967.4
1,27,9.29065,8.84629,10.25,0.00012,-0.0,7.5e-07,216,2047.3
1,28,4.30708,4.09195,4.8125,1e-05,0.0,7.8e-07,224,2130.3
1,29,5.45412,5.18787,6.0625,0.00039,0.0,8.1e-07,232,2206.1
1,30,5.09052,4.86145,5.625,0.0,0.0,8.4e-07,240,2278.4
1,31,4.37046,4.02112,5.21875,0.0,0.0,8.6e-07,248,2342.6
1,32,0.06103,0.03462,0.10156,0.00038,0.0,8.9e-07,256,2409.3
1,33,2.79414,2.58442,3.21875,2e-05,0.0,9.2e-07,264,2474.7
1,34,2.77271,2.42174,3.48438,8e-05,0.0,9.5e-07,272,2538.9
1,35,0.34862,0.20714,0.67969,0.0001,0.0,9.8e-07,280,2605.9
1,36,5.00524,4.63152,5.84375,3e-05,0.0,1e-06,288,2668.7
1,37,0.39904,0.23572,0.78906,2e-05,0.0,1.03e-06,296,2734.3
1,38,0.00574,0.00782,0.0,9e-05,0.0,1.06e-06,304,2800.7
1,39,0.06519,0.03396,0.13281,6e-05,0.0,1.09e-06,312,2865.5
1,40,2.5402,2.35495,2.90625,4e-05,0.0,1.11e-06,320,2930.5
1,41,1.97845,1.596,2.89062,4e-05,0.0,1.14e-06,328,2991.8
1,42,2.24162,1.89235,3.14062,0.00012,-0.0,1.17e-06,336,3057.7
